Timepoints,Liver signal,AIF
34991.488,275.521,160.741
34993.667,272.554,137.447
34995.845,272.598,144.373
34998.025,270.609,157.991
35000.205,272.87,152.734
35002.383,271.878,138.227
35004.562,270.877,145.112
35006.742,273.012,129.037
35008.92,272.37,137.911
35011.1,271.356,139.647
35013.277,269.345,133.553
35015.458,268.826,132.461
35017.637,273.896,145.897
35019.815,269.184,140.684
35021.995,270.717,156.24
35024.175,273.903,150.102
35026.352,272.084,143.708
35028.533,270.7,144.046
35030.712,274.541,127.466
35032.89,269.919,132.681
35035.07,274.815,137.662
35037.247,269.466,132.425
35039.428,270.825,135.559
35041.607,275.308,146.318
35043.785,270.539,140.514
35045.965,269.967,136.858
35048.145,271.834,143.421
35050.322,272.505,140.441
35052.503,269.097,140.355
35054.68,271.144,153.243
35056.86,273.17,137.809
35059.04,273.139,137.06
35061.217,269.987,137.627
35063.398,272.015,144.853
35065.577,276.577,151.64
35067.755,275.057,142.098
35069.935,271.642,198.579
35072.115,275.509,341.199
35074.292,275.251,424.542
35076.473,275.76,391.91
35078.65,271.431,348.305
35080.83,274.058,266.423
35083.01,278.297,227.853
35085.188,277.3,190.928
35087.367,280.937,180.213
35089.548,282.995,183.25
35091.725,282.549,201.974
35093.905,285.618,207.168
35096.083,287.84,201.347
35098.262,290.093,202.653
35100.443,288.8,203.038
35102.62,293.59,188.838
35104.8,288.277,191.088
35106.98,290.065,186.078
35109.158,296.423,178.162
35111.337,289.976,178.746
35113.518,292.64,176.375
35115.695,297.912,174.485
35117.875,290.711,178.864
35120.053,291.661,184.063
35122.232,296.728,183.276
35124.413,294.534,192.509
35126.59,291.393,182.907
35128.77,294.642,192.767
35130.95,291.327,198.619
35133.128,291.593,186.252
35135.307,293.525,184.72
35137.488,293.051,209.299
35139.665,294.364,177.899
35141.845,290.157,182.347
35144.023,290.306,184.602
35146.202,294.963,170.784
35148.383,287.998,175.604
35150.56,289.05,175.721
35152.74,294.637,158.851
35154.92,287.471,178.052
35157.098,289.697,165.017
35159.277,294.261,175.999
35161.455,288.926,170.436
35163.635,290.08,176.946
35165.815,288.552,183.293
35167.992,289.126,174.412
35170.173,290.615,175.438
35172.352,287.567,172.515
35174.53,287.926,178.423
35176.71,288.081,180.857
35178.89,286.87,175.525
35181.068,291.92,183.069
35183.247,287.912,171.238
35185.425,288.898,167.499
35187.605,285.811,173.404
35189.785,287.52,171.513
35191.962,284.248,170.075
35194.143,284.965,176.166
35196.322,287.963,184.959
35198.5,285.431,171.81
35200.68,287.787,159.31
35202.857,285.534,177.376
35205.038,285.047,167.151
35207.217,285.635,159.248
35209.395,283.548,169.309
35211.575,286.696,173.12
35213.755,284.558,169.006
35215.932,287.031,169.62
35218.113,283.152,171.391
35220.292,283.401,184.825
35222.47,289.968,181.443
35224.65,285.634,168.874
35226.827,285.715,161.176
35229.008,284.415,171.074
35231.188,284.452,167.134
35233.365,289.233,175.257
35235.545,285.687,166.917
35237.725,287.986,160.114
35239.902,284.079,179.355
35242.083,287.703,177.041
35244.26,283.568,171.11
35246.44,285.728,169.096
35248.62,285.974,155.558
35250.798,283.794,161.473
35252.977,283.793,164.765
35255.158,284.111,177.77
35257.335,287.5,177.215
35259.515,284.851,165.573
35261.695,285.849,163.952
35263.872,283.729,166.672
35266.053,283.633,167.919
35268.23,283.295,172.018
35270.41,282.585,177.257
35272.59,287.126,172.873
35274.768,283.782,161.457
35276.947,285.712,160.037
35279.128,284.215,158.744
35281.305,282.643,165.604
35283.485,284.629,170.634
35285.663,283.134,175.55
35287.842,285.279,172.871
35290.023,282.664,166.35
35292.2,285.905,167.399
35294.38,285.35,157.857
35296.56,284.933,164.885
35298.738,281.989,161.558
35300.917,284.127,168.357
35303.098,282.651,167.891
35309.852,291.927,191.696
35312.033,287.196,165.69
35314.212,286.106,158.531
35316.39,283.979,163.079
35318.57,285.29,166.782
35320.747,287.068,175.199
35322.928,283.257,167.771
35325.107,284.551,182.015
35327.285,284.149,174.776
35329.465,286.799,161.946
35331.645,284.789,166.851
35333.822,285.217,163.273
35336.003,287.17,165.404
35338.18,284.251,166.04
35340.36,286.172,158.299
35342.54,284.774,170.747
35344.717,284.258,159.513
35346.898,285.338,158.773
35349.077,284.492,163.181
35351.255,285.729,159.536
35353.435,281.695,166.813
35355.615,284.933,161.388
35357.792,288.343,167.274
35359.973,283.637,164.722
35362.15,286.243,166.566
35364.33,284.42,158.506
35366.51,283.503,156.257
35368.688,282.197,156.564
35370.867,283.304,157.025
35373.048,287.472,162.288
35375.225,282.468,167.499
35377.405,286.8,159.022
35379.583,283.999,164.382
35381.762,285.816,153.499
35383.943,283.037,162.53
35386.12,283.957,154.974
35388.3,282.896,162.846
35390.48,284.708,165.043
35392.658,285.338,166.726
35394.837,282.658,169.86
35397.018,286.115,154.514
35399.195,283.411,164.517
35401.375,286.943,160.805
35403.553,282.276,161.114
35405.732,285.913,163.913
35407.913,283.451,180.195
35410.09,288.075,162.58
35412.27,283.566,156.663
35414.45,285.695,159.505
35416.628,280.316,163.534
35418.807,283.039,168.212
35420.985,288.358,172.042
35423.165,286.149,168.518
35425.345,283.992,170.749
35427.523,286.114,171.886
35429.702,286.553,169.116
35431.883,284.675,152.772
35434.06,283.398,162.371
35436.24,284.048,152.066
35438.42,288.164,153.362
35440.598,284.6,156.842
35442.777,283.778,156.526
35444.955,283.522,169.381
35447.135,283.366,160.251
35449.315,286.643,153.96
35451.492,283.628,159.837
35453.673,285.23,169.852
35455.852,289.793,168.223
35458.03,286.408,163.569
35460.21,285.285,175.94
35462.39,285.522,168.754
35464.568,285.293,160.222
35466.747,284.609,157.463
35468.925,281.018,155.811
35471.105,282.826,152.587
35473.285,287.653,163.573
35475.462,281.439,159.839
35477.643,284.129,150.488
35479.822,284.575,174.382
35482,285.698,162.644
35484.18,285.074,159.662
35486.357,287.751,154.009
35488.538,285.01,173.523
