Timepoints,Liver signal,AIF
37499.607,335.318,200.622
37501.785,331.64,192.186
37503.965,340.186,205.69
37506.145,335.52,195.774
37508.322,341.125,202.073
37510.503,335.703,199.549
37512.682,343.486,209.028
37514.86,335.871,206.83
37517.04,334.3,197.8
37519.22,336.695,201.24
37521.398,335.425,201.928
37523.577,334.169,198.893
37525.755,332.239,197.96
37527.935,331.707,202.87
37530.115,332.754,193.772
37532.292,341.598,205.927
37534.473,336.153,204.748
37536.652,336.985,203.476
37538.83,336.518,187.068
37541.01,340.533,198.072
37543.19,331.987,203.837
37545.367,338.089,202.752
37547.548,336.652,196.008
37549.725,336.598,179.988
37551.905,346.04,200.089
37554.085,335.196,179.302
37556.262,336.424,196.83
37558.443,334.156,197.929
37560.622,334.608,197.791
37562.8,337.278,187.084
37564.98,344.083,194.679
37567.158,338.086,189.391
37569.337,338.093,192.622
37571.518,337.103,192.041
37573.695,334.235,191.589
37575.875,337.363,203.286
37578.055,333.656,189.155
37580.232,334.755,206.933
37582.413,334.246,190.647
37584.592,333.463,208.414
37586.77,335.721,185.785
37588.95,335.024,211.001
37591.128,335.682,185.307
37593.307,333.739,195.164
37598.697,348.176,215.177
37600.878,336.914,195.775
37603.055,343.137,206.554
37605.235,337.197,184.98
37607.415,342.793,201.022
37609.592,339.01,196.892
37611.773,340.191,191.685
37613.952,333.438,201.706
37616.13,334.056,195.39
37618.31,333.758,196.8
37620.488,333.353,197.889
37622.667,341.214,205.191
37624.848,337.124,198.361
37627.025,344.315,203.256
37629.205,334.496,194.092
37631.385,342.267,202.74
37633.562,332.853,187.888
37635.742,337.628,202.591
37637.92,339.222,213.633
37640.1,333.858,203.666
37642.28,331.53,205.855
37644.458,334.143,200.381
37646.637,335.027,190.523
37648.818,340.528,201.949
37650.995,338.51,183.349
37653.175,344.569,208.559
37655.355,331.537,208.962
37657.533,334.412,210.851
37659.712,332.255,198.753
37661.89,334.62,192.954
37664.07,332.786,200.6
37666.25,333.249,210.528
37668.428,340.198,198.331
37670.607,337.001,187.325
37672.788,341.708,198.131
37674.965,334.212,188.46
37677.145,336.754,213.247
37679.322,335.818,192.74
37681.503,339.096,200.126
37683.682,332.911,203.568
37685.86,338.353,200.587
37688.04,336.864,192.607
37690.22,344.629,198.497
37692.398,333.464,199.168
37694.577,344.088,215.652
37696.758,334.804,194.529
37698.935,340.748,205.732
37701.115,336.037,194.35
37703.292,341.847,209.105
37705.473,336.928,184.617
37707.652,339.752,191.856
37709.83,339.815,189.831
37712.01,338.952,192.497
37714.19,334.09,202.345
37716.367,341.733,222.934
37718.548,335.106,192.787
37720.725,341.864,209.888
37722.905,332.814,196.394
37725.085,337.734,200.438
37727.262,332.157,202.23
37729.443,331.132,204.58
37731.622,332.456,199.403
37733.8,334.772,199.393
37735.98,332.358,203.072
37738.16,341.933,207.028
37740.337,338.543,181.37
37742.518,344.903,196.25
37744.695,338.492,193.499
37746.875,337.793,193.766
37749.055,335.854,196.509
37751.232,337.621,186.298
37753.413,333.3,199.64
37755.592,336.435,208.201
37757.77,339.43,195.414
37759.95,334.781,199.857
37762.13,333.617,190.408
37764.307,333.126,187.569
37766.488,331.309,199.253
37768.665,333.777,190.008
37770.845,341.744,190.564
37773.025,332.479,198.771
37775.202,336.873,211.187
37777.383,337.216,193.518
37779.562,338.968,187.608
37781.74,339.518,191.894
37783.92,332.666,201.672
37786.098,343.532,205.415
37788.277,334.308,197.467
37790.458,343.73,201.81
37792.635,333.937,202.325
37794.815,336.787,200.603
37796.995,336.103,183.794
37799.173,338.227,196.301
37801.352,337.468,188.129
37803.533,340.228,184.066
37805.71,338.526,189.448
37807.89,338.562,189.25
37810.068,335.578,185.943
37812.247,337.746,194.235
37814.428,333.864,196.547
37816.605,333.668,191.121
37818.785,341.654,203.004
37820.965,336.768,190.508
37823.143,343.543,203.135
37825.322,336.946,182.865
37827.5,332.914,193.547
37829.68,333.708,188.852
37831.86,329.692,193.071
37834.038,334.063,186.174
37836.217,336.574,196.606
37838.398,335.756,191.642
37840.575,335.823,196.599
37842.755,335.9,199.314
37844.935,334.445,185.048
37847.113,336.806,186.277
37849.292,333.887,194.92
37851.47,338.766,195.321
37853.65,334.701,188.11
37855.83,335.677,201.922
37858.008,337.73,179.083
37860.188,345.228,196.213
37862.367,339.216,188.208
37864.545,344.007,198.824
37866.725,332.832,198.305
37868.902,332.562,206.922
37871.083,335.099,194.359
37873.262,333.327,209.162
37875.44,335.783,193.464
37877.62,333.656,188.593
37879.8,336.947,204.906
37881.977,335.373,191.929
37884.158,337.593,188.434
37886.337,334.604,194.141
37888.515,336.746,183.628
37890.695,336.256,198.815
37892.872,336.924,184.297
37895.053,343.935,197.609
37897.232,337.588,179.628
37899.41,338.979,187.638
37901.59,333.184,196.992
37903.77,337.565,193.919
37905.947,332.038,194.157
37908.128,336.383,193.651
37910.305,330.601,204.375
37916.835,346.088,190.622
37919.015,330.392,179.456
37921.195,334.558,204.069
37923.372,337.426,192.432
37925.553,333.994,187.763
37927.732,343.308,201.259
37929.91,338.314,183.01
37932.09,335.565,197.928
37934.268,336.186,193.269
37936.447,332.92,186.569
37938.628,336.52,191.703
37940.805,338.555,200.25
37942.985,340.82,184.938
37945.165,336.302,184.931
37947.342,341.368,184.128
37949.523,337.02,197.996
37951.702,343.28,190.396
37953.88,334.695,182.408
37956.06,335.264,196.145
37958.238,334.331,194.147
37960.417,337.063,205.737
37962.598,337.34,182.128
37964.775,338.776,187.712
37966.955,338.714,187.839
37969.135,342.261,193.034
37971.312,336.882,192.919
37973.492,335.653,194.306
37975.67,336.054,199.459
37977.85,332.885,188.79
37980.03,334.302,193.178
37982.208,332.262,180.074
37984.387,334.178,190.615
37986.568,333.376,190.704
37988.745,342.667,193.4
