Timepoints,Liver signal,AIF
38994.833,264.533,185.114
38997.01,259.583,145.717
38999.19,258.222,136.01
39001.367,258.996,142.7
39003.548,259,143
39005.727,256.668,162.128
39007.905,257.208,163.444
39010.085,258.43,142.595
39012.265,256.698,127.34
39014.443,257.147,142.278
39016.622,255.693,149.995
39018.803,257.621,134.66
39020.98,255.988,127.783
39023.16,257.152,129.196
39025.337,256.367,127.649
39027.518,256.966,133.907
39029.697,255.91,150.422
39031.875,257.164,135.492
39034.055,255.553,142.576
39036.235,256.352,135.436
39038.413,255.713,127.312
39040.592,255.555,134.914
39042.77,253.429,149.206
39044.95,258.09,140.672
39047.13,252.809,129.511
39049.307,252.946,138.783
39051.488,254.389,132.469
39053.667,254.308,155.582
39055.845,254.276,147.272
39058.025,258.313,135.574
39060.205,254.262,145.632
39062.383,256.394,141.154
39064.562,253.754,132.783
39066.74,252.197,147.076
39068.92,254.403,130.005
39071.1,252.722,144.834
39073.277,255.398,130.394
39075.458,254.379,153.878
39077.637,256.884,180.261
39079.815,252.657,278.028
39081.995,252.452,378.836
39084.175,254.966,368.492
39086.352,254.975,338.635
39088.533,255.793,286.797
39090.71,256.829,256.112
39092.89,256.536,222.451
39095.07,256.84,214.444
39097.247,263.642,187.224
39099.428,269.38,211.472
39101.607,268.781,209.343
39103.785,270.642,192.957
39105.965,269.131,213.598
39108.143,274.013,193.094
39110.322,271.647,204.581
39112.503,274.099,219.466
39114.68,276.321,196.224
39116.86,277.308,179.739
39119.04,280.012,176.878
39121.217,280.022,183.792
39123.398,283.393,167.323
39125.577,280.138,167.471
39127.755,280.264,181.116
39129.935,281.226,158.724
39132.113,284.172,183.537
39134.292,284.138,172.861
39136.473,286.044,186.631
39138.65,286.062,166.37
39140.83,284.703,179.903
39143.01,280.587,157.392
39145.188,284.2,162.995
39147.367,286.066,175.382
39149.545,287.28,152.941
39151.725,285.872,176.019
39153.905,291.042,174.962
39156.083,286.219,154.935
39158.262,283.874,164.257
39160.443,286.421,160.307
39162.62,287.795,171.884
39164.8,287.51,166.319
39166.98,287.743,176.696
39169.158,289.77,164.89
39171.337,289.381,172.257
39173.515,290.834,164.04
39175.695,288.248,167.973
39177.875,291.707,160.252
39180.053,289.44,178.438
39182.232,290.387,161.332
39184.413,287.658,159.286
39186.59,287.296,179.699
39188.77,288.527,169.276
39190.947,286.998,162.208
39193.128,288.561,154.616
39195.307,290.014,173.515
39197.485,288.075,158.624
39199.665,289.628,173.583
39201.845,289.697,165.808
39204.023,289.654,146.075
39206.202,292.648,166.207
39208.383,288.465,164.195
39210.56,292.626,158.707
39212.74,288.092,168.347
39214.917,289.186,180.285
39217.098,289.831,156.17
39219.277,290.294,171.753
39221.455,291.422,149.649
39223.635,289.757,151.252
39225.815,295.503,163.26
39227.992,289.687,167.192
39230.173,294.321,169.802
39232.35,294.134,203.821
39234.53,295.873,163.751
39236.71,293.777,178.181
39238.887,293.827,166.189
39241.068,291.753,153.61
39243.247,292.896,155.781
39245.425,292.968,196.055
39247.605,293.383,155.529
39249.785,292.432,168.464
39251.962,292.635,156.071
39254.143,292.881,167.461
39256.32,295.568,166.062
39258.5,294.805,146.943
39260.68,296.35,144.451
39262.857,293.174,144.247
39265.038,291.3,164.734
39267.217,294.365,160.237
39269.395,293.808,154.997
39271.575,296.069,155.363
39273.753,296.309,159.834
39275.932,299.14,157.653
39278.113,293.931,145.879
39280.29,296.621,165.165
39282.47,296.383,147.727
39284.65,295.708,156.137
39286.827,296.856,147.438
39289.008,297.634,171.307
39291.188,297.953,150.636
39293.365,297.489,161.093
39295.545,299.106,154.993
39297.723,295.836,159.287
39299.902,300.128,154.114
39302.083,297.53,160.418
39304.26,299.698,161.172
39306.44,296.547,147.572
39312.995,304.373,203.604
39315.173,298.446,151.21
39317.352,297.802,147.669
39319.533,300.146,156.149
39321.71,297.913,157.562
39323.89,299.762,144.414
39326.07,296.25,160.845
39328.247,297.4,167.167
39330.428,296.288,141.621
39332.607,298.62,171.199
39334.785,300.493,145.56
39336.965,300.026,147.768
39339.143,301.629,157.342
39341.322,298.813,159.251
39343.503,301.657,145.745
39345.68,299.13,151.904
39347.86,302.243,155.839
39350.04,299.635,174.429
39352.217,302.59,149.709
39354.398,297.899,145.197
39356.575,305.432,162.271
39358.755,300.322,158.992
39360.935,301.037,157.193
39363.113,302.083,146.21
39365.292,300.574,171.965
39367.473,302.045,146.171
39369.65,299.124,145.97
39371.83,304.225,150.535
39374.01,300.646,146.213
39376.188,299.908,161.303
39378.367,301.467,142.368
39380.545,300.362,164.571
39382.725,300.802,156.963
39384.905,300.359,171.024
39387.083,301.068,149.149
39389.262,301.078,162.179
39391.443,302.373,143.447
39393.62,304.057,178.18
39395.8,302.721,153.039
39397.977,301.741,147.038
39400.158,303.273,146.926
39402.337,304.69,162.426
39404.515,306.283,170.84
39406.695,306.531,168.885
39408.875,303.824,153.516
39411.053,301.413,178.916
39413.232,304.485,166.375
39415.413,309.613,171.094
39417.59,303.955,155.869
39419.77,309.734,155.559
39421.947,304.506,144.499
39424.128,309.06,145.815
39426.307,303.138,155.567
39428.485,305.223,176.659
39430.665,305.203,144.518
39432.845,302.874,154.385
39435.023,303.16,166.12
39437.202,304.003,138.108
39439.38,303.664,164.216
39441.56,305.355,146.01
39443.74,302.39,144.354
39445.917,310.623,159.329
39448.098,304.878,145.083
39450.277,305.686,159.191
39452.455,304.613,137.509
39454.635,304.706,162.777
39456.815,306.804,162.368
39458.992,305.521,173.799
39461.173,306.455,151.382
39463.35,306.328,161.908
39465.53,309.298,149.994
39467.71,306.539,140.034
39469.887,310.5,155.427
39472.068,305.261,146.997
39474.247,304.955,152.211
39476.425,305.569,151.462
39478.605,305.698,159.356
39480.783,307.121,149.061
39482.962,305.77,142.252
39485.143,309.01,158.153
39487.32,306.424,152.741
39489.5,307.484,141.952
39491.68,306.471,148.421
39493.857,308.307,167.825
39496.038,307.823,143.587
39498.217,309.082,151.504
39500.395,306.969,143.163
39502.575,306.524,161.551
39504.753,309.424,150.335
39506.932,306.559,146.71
39509.113,309.247,149.113
39511.29,307.687,147.224
39513.47,305.805,151.973
39515.65,306.668,147.662
39517.827,306.878,162.43
39520.008,307.896,142.644
39522.185,308.908,156.29
39524.365,307.731,148.857
39526.545,308.834,168.436
39528.723,310.187,154.621
39530.902,308.721,142.37
39533.083,311.718,154.197
39535.26,309.43,143.464
39537.44,307.232,142.57
39539.62,308.153,148.221
39541.798,307.859,159.694
39543.977,309.344,148.591
39546.155,307.631,147.535
39548.335,311.049,141.595
39550.515,307.359,151.422
39552.693,309.163,171.128
39554.872,309.417,152.759
39557.053,309.633,165.452
39559.23,310.612,144.338
39561.41,309.068,160.519
39563.59,310.141,148.233
39565.768,309.449,148.737
39567.947,315.204,178.226
39570.125,311.1,157.456
39572.305,316.5,183.934
39574.485,314.412,165.484
39576.663,311.26,151.212
39578.842,314.669,148.573
39581.023,310.272,161.66
39583.2,314.951,139.464
39585.38,308.937,158.296
39587.557,314.728,155.933
39589.738,309.59,134.309
39591.917,309.522,159.881
39594.095,310.892,149.939
39596.275,309.385,169.106
39598.455,312.69,152.171
39600.633,311.015,158.931
39602.812,312.285,148.733
39604.992,308.454,151.227
39607.17,313.768,150.681
39609.35,311.417,134.759
39611.527,314.063,145.091
39613.708,311.287,141.791
39615.887,312.176,142.171
39618.065,314.099,173.834
39620.245,312.668,165.462
39622.425,313.679,172.315
39624.602,316.792,161.701
39631.038,323.098,195.954
39633.217,316.144,161.361
39635.398,316.609,156.483
39637.575,314.894,146.927
39639.755,316.87,159.581
39641.932,314.114,167.887
39644.113,316.426,148.224
39646.292,313.952,145.223
39648.47,316.469,148.219
39650.65,315.794,147.818
39652.83,316.604,144.688
39655.008,315.892,149.623
39657.188,320.179,151.95
39659.367,315.148,160.492
39661.545,316.703,146.956
39663.725,313.021,133.243
39665.902,311.103,153.81
39668.083,315.026,150.873
39670.262,314.272,138.947
39672.44,316.213,154.873
39674.62,315.882,166.689
39676.8,319.73,139.537
39678.977,316.241,141.813
39681.158,318.113,151.527
39683.335,315.224,172.757
39685.515,317.099,147.24
39687.695,314.869,133.91
39689.872,319.345,147.117
39692.053,314.414,152.954
39694.232,322.647,147.802
39696.41,315.648,145.637
39698.59,320.968,151.571
39700.77,314.44,151.955
39702.947,321.603,148.908
39705.128,314.387,140.005
39707.305,315.918,152.298
39709.485,316.655,144.905
39711.665,315.805,160.905
39713.842,317.132,142.248
39716.023,316.21,131.084
39718.202,320.247,139.529
39720.38,315.645,149.147
39722.56,321.156,156.823
39724.738,317.419,157.191
39726.917,315.208,163.909
39729.098,317.614,152.723
39731.275,315.114,140.787
39733.455,316.403,145.624
39735.635,316.587,158.867
39737.812,316.359,136.705
39739.992,316.944,143.552
39742.173,317.54,133.466
39744.35,316.618,163.514
39746.53,317.953,149.097
39748.708,316.842,143.771
39750.887,317.548,142.639
39753.068,318.026,155.547
39755.245,323.568,144.637
39757.425,316.311,140.5
39759.605,325.362,176.691
39761.783,320.002,157.935
39763.962,322.941,153.138
39766.14,318.08,148.563
39768.32,322.496,150.929
39770.5,317.277,149.452
39772.678,317.926,168.081
39774.857,317.629,163.223
39777.038,321.893,150.137
39779.215,316.933,137.858
39781.395,323.472,155.521
39783.575,318.546,148.779
39785.753,322.118,149.976
39787.932,318.779,150.66
39790.11,317.038,155.796
39792.29,319.539,140.505
39794.47,317.777,161.052
39796.648,319.624,150.623
39798.827,318.173,141.298
39801.008,319.217,139.686
39803.185,319.801,157.656
39805.365,325.369,151.75
39807.542,320.288,154.313
39809.723,322.103,139.187
39811.902,317.854,145.195
39814.08,324.95,142.157
39816.26,317.535,148.461
39818.44,323.468,148.806
39820.617,319.314,141.312
39822.798,319.521,139.482
39824.977,319.306,144.342
39827.155,318.024,160.355
39829.335,320.461,144.502
39831.512,319.336,139.21
39833.693,322.853,143.778
39835.872,318.623,152.011
39838.05,325.164,153.433
39840.23,320.381,137.425
39842.41,323.67,143.792
39844.587,318.451,134.716
39846.768,318.968,150.561
39848.945,319.042,148.82
39851.125,328.574,145.305
39853.305,319.784,154.567
39855.482,321.636,155.142
39857.663,320.798,161.28
39859.842,326.102,144.222
39862.02,319.798,141.045
39864.2,324.898,147.05
39866.38,321.153,137.361
39868.557,320.278,148.852
39870.738,319.432,139.695
39872.915,321.198,155.99
39875.095,321.16,136.394
39877.275,319.81,139.867
39879.452,323.55,148.449
39881.633,320.408,160.205
39883.812,324.484,147.593
39885.99,322.349,153.375
39888.17,322.933,134.847
39890.35,320.318,142.82
39892.527,323.624,149.763
39894.708,321.331,142.994
39896.885,320.07,145.129
39899.065,324.159,169.869
39901.245,321.672,160.305
39903.423,321.141,139.869
39905.602,321.134,157.309
39907.783,322.754,149.447
39909.96,323.214,172.186
39912.14,322.517,144.901
39914.318,322.696,153.908
39916.497,321.643,146.489
39918.678,319.915,163.116
39920.855,323.364,141.5
39923.035,321.817,156.794
39925.215,321.361,140.316
39927.393,321.436,164.033
39929.572,326.582,134.256
39931.753,322.047,134.953
39933.93,325.821,148.208
39936.11,322.435,146.702
39938.288,319.765,140.311
39940.467,321.311,147.326
39942.648,322.84,161.262
39948.12,330.44,199.785
39950.298,325.573,163.019
39952.477,329.218,142.219
39954.658,323.63,157.857
39956.835,326.649,144.673
39959.015,324.336,147.463
39961.195,323.722,130.28
39963.372,323.299,137.006
39965.553,324.364,133.672
39967.73,323.634,157.21
39969.91,325.773,158.079
39972.09,323.807,152.556
39974.268,328.761,143.064
39976.447,323.094,142.499
39978.628,328.571,145.441
39980.805,325.119,136.593
39982.985,323.416,144.643
39985.165,323.93,149.065
39987.342,324.758,159.139
39989.523,327.638,143.955
39991.7,323.937,136.612
39993.88,330.574,149.981
39996.06,324.702,140.08
39998.238,329.221,152.384
40000.417,324.51,145.554
40002.598,328.022,137.945
40004.775,325.346,151.943
40006.955,332.686,147.554
40009.133,324.382,149.454
